Aporte_CHCP,Aporte_Gatun,Aporte_Alhajuela,Evaporacion,Nivel_Lago_Gatun,ACL,ESC,GAM,GAT,GTW,ONI,Año,Mes,Dia
175.42164179755076,94.03509576651064,81.38654603104011,1.0582829037061487,24.558771971774192,341.0,384.0,249.0,410.0,442.0,1.91,2015,8,14
192.6871321908337,109.90742010680135,82.77971208403243,1.0582829037061487,24.886794058333333,170.0,291.0,197.0,283.0,267.0,2.21,2015,9,14
244.1465901705069,131.53803936383687,112.60855080667002,1.0582829037061487,25.20569358467742,328.0,231.0,147.0,322.0,249.0,2.47,2015,10,14
119.49486380837922,65.5407081817554,53.9541556266238,1.0582829037061487,25.584953275,384.0,383.0,134.0,211.0,243.56,2.64,2015,11,14
49.03035836310784,25.28792743512115,46.65012176674491,1.0582829037061487,25.465797266129037,60.0,72.0,6.0,29.0,243.56,2.75,2015,12,14
28.26538189941972,12.130454345296238,38.12893548614426,1.0582829037061487,25.11860743145161,75.0,69.0,4.0,28.0,13.0,2.63,2016,1,14
19.24246119776767,7.171626708822509,12.070834488945165,1.0582829037061487,24.77702887068965,25.0,31.0,1.0,11.0,4.0,2.28,2016,2,14
40.87884762435734,20.875279123769985,20.00356850058736,1.0582829037061487,24.389692466685712,48.0,19.0,1.0,6.0,10.0,1.71,2016,3,14
123.41758400687736,70.42833748776755,52.98924651910979,1.0582829037061487,23.992938954166668,430.0,280.0,145.0,26.0,45.0,1.05,2016,4,14
162.7940645028314,100.7930294381024,62.00103506472896,1.0582829037061487,24.063222068548388,481.0,350.0,291.0,137.0,257.0,0.49,2016,5,14
165.73381255435504,101.42716282335395,64.30664973100106,1.0582829037061487,24.717155925,235.0,292.0,275.0,289.0,309.0,0.0,2016,6,14
157.02328269652105,85.48954697296584,71.53373572355524,1.0582829037061487,25.117022491935483,474.0,361.0,166.0,236.0,226.0,-0.31,2016,7,14
209.1847531670474,126.84222074493935,82.34253242210805,1.0582829037061487,25.385028850806453,322.0,241.0,241.0,195.0,216.0,-0.5,2016,8,14
302.78451494955084,200.5375931190584,102.24692183049244,1.0582829037061487,25.869538809645377,311.0,387.0,360.0,379.0,376.0,-0.58,2016,9,14
503.975035618978,348.087498987196,155.88753663178193,1.0582829037061487,26.548477614368508,672.0,377.0,363.0,465.0,447.0,-0.64,2016,10,14
272.2306511784828,160.33648686053684,111.89416431794596,1.0582829037061487,26.821305187441155,887.0,854.0,472.0,729.0,243.56,-0.6,2016,11,14
99.72187105070644,47.70009640949184,63.76428201419392,1.0582829037061487,26.791655758064515,46.0,223.0,51.0,239.6484375,72.0,-0.45,2016,12,14
50.19360756499543,21.418356236018667,49.51150086357323,1.0582829037061487,26.33818689516129,26.0,84.0,15.0,23.0,18.0,-0.19,2017,1,14
47.17768035374574,18.66418378311249,28.513496570633254,1.0582829037061487,25.815595026785715,22.0,128.0,9.0,18.0,17.0,-0.02,2017,2,14
57.14938612816171,30.220818244342453,26.92856788381926,1.0582829037061487,25.322470596774192,61.0,74.0,18.0,30.0,37.0,0.18,2017,3,14
140.9223449398453,94.35303564784893,46.56930929199639,1.0582829037061487,24.93473095515213,366.0,235.0,289.0,187.0,196.0,0.31,2017,4,14
121.50624654899596,75.69107458727046,45.81517196172551,1.0582829037061487,25.022402370967743,264.390625,202.0,238.0,316.0,376.0,0.4,2017,5,14
171.60969067196137,95.30184297428872,76.30784769767263,1.0582829037061487,24.93312903033321,264.390625,289.0,192.0,319.0,342.0,0.39,2017,6,14
193.34568635165908,121.81219003952796,71.53349631213113,1.0582829037061487,25.06840814038158,373.0,233.0,258.0,280.0,295.0,0.19,2017,7,14
171.72082405539248,105.33910468270658,66.38171937268591,1.0582829037061487,25.56147769412208,345.0,204.0,341.0,269.0,283.0,-0.07,2017,8,14
167.3355310038566,103.9391160302804,63.3964149735762,1.0582829037061487,25.826072125042295,184.0,119.0,151.0,157.0,169.0,-0.34,2017,9,14
240.52967287278608,162.41901987712407,78.11065299566197,1.0582829037061487,25.89956781451613,559.0,371.0,279.0,464.0,505.0,-0.6,2017,10,14
