Variable,Importancia
ONI,0.6026465580446205
Mes,0.10808800874884386
Evaporacion,0.05345845580401113
Año,0.047970890456095205
GAM,0.045004360210366565
ACL,0.0357400860303263
Aporte_CHCP,0.027988386404367988
Aporte_Gatun,0.026011481218430815
ESC,0.021606078690634266
Aporte_Alhajuela,0.01243263437678221
GAT,0.010759808949363363
GTW,0.00829325106615772
Dia,0.0
