Fecha_Inicio,Fecha_Fin,Aporte_CHCP,Aporte_Gatun,Aporte_Alhajuela,Evaporacion,Nivel_Lago_Gatun,ACL,ESC,GAM,GAT,GTW,ONI
2015-08-14 12:00:00,2015-09-14 12:00:00,175.42164179755076,94.03509576651064,81.38654603104011,,24.558771971774192,341.0,384,249,410.0,442.0,1.91
2015-09-14 12:00:00,2015-10-14 12:00:00,192.6871321908337,109.90742010680135,82.77971208403243,,24.886794058333333,170.0,291,197,283.0,267.0,2.21
2015-10-14 12:00:00,2015-11-14 12:00:00,244.1465901705069,131.53803936383687,112.60855080667002,,25.20569358467742,328.0,231,147,322.0,249.0,2.47
2015-11-14 12:00:00,2015-12-14 12:00:00,119.49486380837922,65.5407081817554,53.9541556266238,,25.584953275,384.0,383,134,211.0,,2.64
2015-12-14 12:00:00,2016-01-14 12:00:00,49.03035836310784,25.28792743512115,46.65012176674491,,25.465797266129037,60.0,72,6,29.0,,2.75
2016-01-14 12:00:00,2016-02-14 12:00:00,28.26538189941972,12.130454345296238,38.12893548614426,,25.11860743145161,75.0,69,4,28.0,13.0,2.63
2016-02-14 12:00:00,2016-03-14 12:00:00,19.24246119776767,7.171626708822509,12.070834488945165,,24.77702887068965,25.0,31,1,11.0,4.0,2.28
2016-03-14 12:00:00,2016-04-14 12:00:00,40.87884762435734,20.875279123769985,20.00356850058736,,24.389692466685712,48.0,19,1,6.0,10.0,1.71
2016-04-14 12:00:00,2016-05-14 12:00:00,123.41758400687736,70.42833748776755,52.98924651910979,,23.992938954166668,430.0,280,145,26.0,45.0,1.05
2016-05-14 12:00:00,2016-06-14 12:00:00,162.7940645028314,100.7930294381024,62.00103506472896,,24.063222068548388,481.0,350,291,137.0,257.0,0.49
2016-06-14 12:00:00,2016-07-14 12:00:00,165.73381255435504,101.42716282335395,64.30664973100106,,24.717155925,235.0,292,275,289.0,309.0,0.0
2016-07-14 12:00:00,2016-08-14 12:00:00,157.02328269652105,85.48954697296584,71.53373572355524,,25.117022491935483,474.0,361,166,236.0,226.0,-0.31
2016-08-14 12:00:00,2016-09-14 12:00:00,209.1847531670474,126.84222074493935,82.34253242210805,,25.385028850806453,322.0,241,241,195.0,216.0,-0.5
2016-09-14 12:00:00,2016-10-14 12:00:00,302.78451494955084,200.5375931190584,102.24692183049244,,25.869538809645377,311.0,387,360,379.0,376.0,-0.58
2016-10-14 12:00:00,2016-11-14 12:00:00,503.975035618978,348.087498987196,155.88753663178193,,26.548477614368508,672.0,377,363,465.0,447.0,-0.64
2016-11-14 12:00:00,2016-12-14 12:00:00,272.2306511784828,160.33648686053684,111.89416431794596,,26.821305187441155,887.0,854,472,729.0,,-0.6
2016-12-14 12:00:00,2017-01-14 12:00:00,99.72187105070644,47.70009640949184,63.76428201419392,,26.791655758064515,46.0,223,51,,72.0,-0.45
2017-01-14 12:00:00,2017-02-14 12:00:00,50.19360756499543,21.418356236018667,49.51150086357323,,26.33818689516129,26.0,84,15,23.0,18.0,-0.19
2017-02-14 12:00:00,2017-03-14 12:00:00,47.17768035374574,18.66418378311249,28.513496570633254,,25.815595026785715,22.0,128,9,18.0,17.0,-0.02
2017-03-14 12:00:00,2017-04-14 12:00:00,57.14938612816171,30.220818244342453,26.92856788381926,,25.322470596774192,61.0,74,18,30.0,37.0,0.18
2017-04-14 12:00:00,2017-05-14 12:00:00,140.9223449398453,94.35303564784893,46.56930929199639,,24.93473095515213,366.0,235,289,187.0,196.0,0.31
2017-05-14 12:00:00,2017-06-14 12:00:00,121.50624654899596,75.69107458727046,45.81517196172551,,25.022402370967743,,202,238,316.0,376.0,0.4
2017-06-14 12:00:00,2017-07-14 12:00:00,171.60969067196137,95.30184297428872,76.30784769767263,,24.93312903033321,,289,192,319.0,342.0,0.39
2017-07-14 12:00:00,2017-08-14 12:00:00,193.34568635165908,121.81219003952796,71.53349631213113,,25.06840814038158,373.0,233,258,280.0,295.0,0.19
2017-08-14 12:00:00,2017-09-14 12:00:00,171.72082405539248,105.33910468270658,66.38171937268591,,25.56147769412208,345.0,204,341,269.0,283.0,-0.07
2017-09-14 12:00:00,2017-10-14 12:00:00,167.3355310038566,103.9391160302804,63.3964149735762,,25.826072125042295,184.0,119,151,157.0,169.0,-0.34
2017-10-14 12:00:00,2017-11-14 12:00:00,240.52967287278608,162.41901987712407,78.11065299566197,,25.89956781451613,559.0,371,279,464.0,505.0,-0.6
2017-11-14 12:00:00,2017-12-14 12:00:00,295.81450470845454,182.60217062910107,113.21233407935352,,26.502150979166668,724.0,709,380,755.0,797.0,-0.77
2017-12-14 12:00:00,2018-01-14 12:00:00,270.574548398208,167.66943726990058,91.51806113498183,,26.851039897803687,548.0,398,120,502.0,472.0,-0.86
2018-01-14 12:00:00,2018-02-14 12:00:00,104.59339905446726,57.313264616023375,37.43172402537207,1.7265929038971202,26.834098912544256,78.0,199,3,138.0,134.0,-0.77
2018-02-14 12:00:00,2018-03-14 12:00:00,55.80946354868078,28.855090669749536,26.95437287893126,2.077547593923113,26.32257511506144,29.0,47,1,6.0,3.0,-0.71
2018-03-14 12:00:00,2018-04-14 12:00:00,57.13048330709059,30.211023370494622,26.919459936595963,1.90364098178351,25.97810990635636,188.0,218,28,88.0,111.0,-0.57
2018-04-14 12:00:00,2018-05-14 12:00:00,130.821573899971,82.43153019359218,48.39004370637876,1.2590160239217278,25.709241825,191.0,205,169,,332.0,-0.39
2018-05-14 12:00:00,2018-06-14 12:00:00,238.5984838247761,148.80190212776122,89.79658169701484,0.8713405343870765,25.73042988126443,467.0,441,254,304.0,357.0,-0.13
2018-06-14 12:00:00,2018-07-14 12:00:00,217.33174278680016,133.3327415427661,83.99900124403405,0.8525447903896288,26.30915280788618,413.0,305,361,422.0,424.0,0.06
2018-07-14 12:00:00,2018-08-14 12:00:00,180.9049516255116,110.96898881435618,69.93596281115538,0.8174985870219642,26.418580455645163,358.0,323,285,287.0,295.0,0.14
2018-08-14 12:00:00,2018-09-14 12:00:00,241.1455624445357,157.36111615706844,83.78444628746726,0.8799110412402602,26.304950790322582,335.0,329,235,254.0,275.0,0.27
2018-09-14 12:00:00,2018-10-14 12:00:00,275.1381313582663,181.216691266621,93.92144009164528,1.0694435448768336,26.5055429375,501.0,394,420,402.0,355.0,0.53
2018-10-14 12:00:00,2018-11-14 12:00:00,301.25563031715404,170.21750963123282,131.03812068592117,0.908652609472926,26.66846729435484,412.0,360,129,423.0,440.0,0.81
2018-11-14 12:00:00,2018-12-14 12:00:00,123.47698772707068,66.14182231172036,57.335165415350346,1.1008307312375365,26.918125191666668,146.0,303,127,195.0,231.0,0.97
2018-12-14 12:00:00,2019-01-14 12:00:00,53.192514921326485,27.29247140682476,41.10774973956424,1.7070889432264291,26.543556914836856,49.0,51,6,28.0,38.0,0.92
2019-01-14 12:00:00,2019-02-14 12:00:00,29.627246342457912,13.882415467921142,34.51193995884998,1.9285323360110065,26.02371645967742,53.0,31,5,15.0,16.0,0.89
2019-02-14 12:00:00,2019-03-14 12:00:00,23.026977342330284,11.23976502820812,11.787212314122163,1.9716959711626725,25.643888541987124,30.0,44,0,14.0,9.0,0.86
2019-03-14 12:00:00,2019-04-14 12:00:00,38.31038588117295,25.06118198033194,13.249203900841003,1.95663133607314,25.013888762096773,25.0,30,0,37.0,45.0,0.84
2019-04-14 12:00:00,2019-05-14 12:00:00,80.49307419854523,44.94092961798181,35.55214458056342,1.3449419289571936,24.57949374583333,296.0,198,65,224.0,244.0,0.77
2019-05-14 12:00:00,2019-06-14 12:00:00,108.46633795672945,67.5155206800108,40.950817276718645,0.9713627503402352,24.30985971278519,256.0,321,316,203.0,176.0,0.64
2019-06-14 12:00:00,2019-07-14 12:00:00,132.94714030972457,82.87285966581183,50.07428064391272,0.7923159554644345,24.234657645666093,177.0,137,292,212.0,199.0,0.52
2019-07-14 12:00:00,2019-08-14 12:00:00,176.22683398233622,99.5636090496184,76.66322493271781,0.834142504639487,24.569933633064515,330.0,332,182,305.0,323.0,0.33
2019-08-14 12:00:00,2019-09-14 12:00:00,187.13938901381707,119.64273174407371,67.49665726974332,0.7067758350175963,24.692405161290324,350.0,314,227,329.0,340.0,0.19
2019-09-14 12:00:00,2019-10-14 12:00:00,190.2005990627653,125.01048198702712,65.19011707573817,0.885341880403908,24.86187824583333,270.0,184,101,125.0,65.0,0.23
2019-10-14 12:00:00,2019-11-14 12:00:00,239.02895514176467,143.53410567554667,95.49484946621796,0.8367763768000416,24.958778443548383,273.0,480,200,245.0,202.0,0.39
2019-11-14 12:00:00,2019-12-14 12:00:00,223.38611066621917,130.62284330188663,92.7632673643325,1.1419720470567662,25.21155268752048,282.0,429,137,496.0,473.0,0.58
2019-12-14 12:00:00,2020-01-14 12:00:00,116.63536735019449,62.60129549038811,65.50423624663058,1.2873521652964977,25.522608258064515,264.0,521,43,384.0,367.0,0.66
2020-01-14 12:00:00,2020-02-14 12:00:00,55.05097245520988,25.96844456494984,46.19964664843363,1.7105475161758417,25.43122100403226,34.0,54,27,46.0,47.0,0.64
