#Masivo Exportar - Puntos cada 1 mes(es);;;;;;
;;ACL;ESC;GAM;GAT;GTW
;;Agua Clara;Escandalosa;Gamboa;Gatun;Gatun West
;;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria
Inicio de intervalo (UTC-05:00);Fin del intervalo (UTC-05:00);Total (mm);Total (mm);Total (mm);Total (mm);Total (mm)
2022-06-14 12:00:00;2022-07-14 12:00:00;657;630;282;434;434
2022-07-14 12:00:00;2022-08-14 12:00:00;571;332;315;451;440
2022-08-14 12:00:00;2022-09-14 12:00:00;293;304;247;391;358
2022-09-14 12:00:00;2022-10-14 12:00:00;267;314;126;299;325
2022-10-14 12:00:00;2022-11-14 12:00:00;335;201;314;300;287
2022-11-14 12:00:00;2022-12-14 12:00:00;311;393;146;314;302
2022-12-14 12:00:00;2023-01-14 12:00:00;158;202;35;91;142
2023-01-14 12:00:00;2023-02-14 12:00:00;8;88;6;31;51
2023-02-14 12:00:00;2023-03-14 12:00:00;19;49;20;6;8
2023-03-14 12:00:00;2023-04-14 12:00:00;11;93;44;40;46
2023-04-14 12:00:00;2023-05-14 12:00:00;15;31;26;0;3
2023-05-14 12:00:00;2023-06-14 12:00:00;249;291;232;126;119
2023-06-14 12:00:00;2023-07-14 12:00:00;275;320;230;450;441
2023-07-14 12:00:00;2023-08-14 12:00:00;300;545;243;251;249
2023-08-14 12:00:00;2023-09-14 12:00:00;357;255;90;335;340
2023-09-14 12:00:00;2023-10-14 12:00:00;197;250;138;228;237
2023-10-14 12:00:00;2023-11-14 12:00:00;207;193;234;354;354
2023-11-14 12:00:00;2023-12-14 12:00:00;265;258;249;192;173
2023-12-14 12:00:00;2024-01-14 12:00:00;137;161;86;174;155
2024-01-14 12:00:00;2024-02-14 12:00:00;42;46;0;37;50
2024-02-14 12:00:00;2024-03-14 12:00:00;74;96;2;53;58
2024-03-14 12:00:00;2024-04-14 12:00:00;131;32;81;87;79
